Linux 3.10.0-229.4.2.el7.x86_64 (d01enspbsedb1) 	09/01/16 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
00:10:01        all     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:10:01          0     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:10:01          1     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:20:01        all     99.79      0.00      0.19      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:20:01          0     99.78      0.00      0.20      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:20:01          1     99.80      0.00      0.17      0.00      0.00      0.00      0.03      0.00      0.00      0.00
00:30:01        all     99.94      0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:30:01          0     99.96      0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:30:01          1     99.94      0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:40:01        all     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:40:01          0     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:40:01          1     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:50:01        all     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:50:01          0     99.94      0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00      0.00
00:50:01          1     99.91      0.00      0.06      0.00      0.00      0.00      0.03      0.00      0.00      0.00
01:00:01        all     99.95      0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:00:01          0     99.96      0.00      0.02      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:00:01          1     99.94      0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:10:02        all     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:10:02          0     99.94      0.00      0.04      0.00      0.00      0.00      0.01      0.00      0.00      0.00
01:10:02          1     99.92      0.00      0.06      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:20:01        all     99.93      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:20:01          0     99.94      0.00      0.05      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:20:01          1     99.92      0.00      0.05      0.00      0.00      0.00      0.03      0.00      0.00      0.00
01:30:02        all     99.95      0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:30:02          0     99.94      0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:30:02          1     99.95      0.00      0.03      0.00      0.00      0.00      0.02      0.00      0.00      0.00
01:40:01        all     99.94      0.00      0.04      0.00      0.00      0.00      0.02      0.00      0.00      0.00
