Linux 3.10.0-229.4.2.el7.x86_64 (d01enspbsedb1) 	07/13/16 	_x86_64_	(2 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:40:01          0      0.34      0.00      0.13      0.01      0.00      0.00      0.01      0.00      0.00     99.51
03:40:01          1      0.28      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.60
03:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
03:50:01          0      0.31      0.00      0.12      0.00      0.00      0.00      0.01      0.00      0.00     99.56
03:50:01          1      0.30      0.00      0.09      0.02      0.00      0.00      0.01      0.00      0.00     99.58
04:00:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
04:00:01          0      0.25      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.62
04:00:01          1      0.36      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.51
04:10:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
04:10:01          0      0.27      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.61
04:10:01          1      0.34      0.00      0.11      0.02      0.00      0.00      0.01      0.00      0.00     99.53
04:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
04:20:01          0      0.34      0.00      0.13      0.01      0.00      0.00      0.01      0.00      0.00     99.52
04:20:01          1      0.29      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.60
04:30:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
04:30:01          0      0.27      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.59
04:30:01          1      0.34      0.00      0.09      0.01      0.00      0.00      0.01      0.00      0.00     99.55
04:40:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.58
04:40:01          0      0.27      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.60
04:40:01          1      0.33      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.55
04:50:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
04:50:01          0      0.31      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.57
04:50:01          1      0.31      0.00      0.12      0.01      0.00      0.00      0.01      0.00      0.00     99.55
05:00:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
05:00:01          0      0.32      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.56
05:00:01          1      0.29      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.57
05:10:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
05:10:01          0      0.34      0.00      0.10      0.01      0.00      0.00      0.01      0.00      0.00     99.56
05:10:01          1      0.28      0.00      0.13      0.01      0.00      0.00      0.01      0.00      0.00     99.58
05:20:01        all      0.31      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.56
05:20:01          0      0.38      0.00      0.10      0.02      0.00      0.00      0.01      0.00      0.00     99.49
05:20:01          1      0.24      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.63
05:30:01        all      0.30      0.00      0.11      0.01      0.00      0.00      0.01      0.00      0.00     99.57
05:30:01          0      0.29      0.00      0.11      0.00      0.00      0.00      0.01      0.00      0.00     99.59
05:30:01          1      0.32      0.00      0.12      0.02      0.00      0.00      0.01      0.00      0.00     99.54
